nterm,date,time,price,volume,prev_day_volume,total_daily_volume_prev_day,yesterday_close,flat_delta_px_prev_bar,percent_delta_px_prev_bar,flat_delta_px_close,percent_delta_px_close
0,2022-08-30,09:30:00,90.06,56.0,,,,,,,
1,2022-08-30,09:40:00,89.26,38.0,,,,-0.7999999999999972,-0.8882966910948226,,
2,2022-08-30,09:50:00,89.24,8.0,,,,-0.0200000000000102,-0.0224064530584923,,
3,2022-08-30,10:00:00,88.92,9.0,,,,-0.3199999999999932,-0.3585835948005302,,
4,2022-08-30,10:10:00,89.08,36.0,,,,0.1599999999999966,0.1799370220422813,,
5,2022-08-30,10:20:00,89.39,13.0,,,,0.3100000000000023,0.3480017961383052,,
6,2022-08-30,10:30:00,89.22,18.0,,,,-0.1700000000000017,-0.1901778722452194,,
7,2022-08-30,10:40:00,88.78,29.0,,,,-0.4399999999999977,-0.4931629679444045,,
8,2022-08-30,10:50:00,89.41,2.0,,,,0.6299999999999955,0.7096192836224323,,
9,2022-08-30,11:00:00,89.09,10.0,,,,-0.3199999999999932,-0.3579018006934271,,
10,2022-08-30,11:10:00,89.1,11.0,,,,0.0099999999999909,0.011224604332687,,
11,2022-08-30,11:20:00,88.83,8.0,,,,-0.269999999999996,-0.3030303030302985,,
12,2022-08-30,11:30:00,88.37,25.0,,,,-0.4599999999999937,-0.5178430710345534,,
13,2022-08-30,11:40:00,88.22,12.0,,,,-0.1500000000000056,-0.1697408622835868,,
14,2022-08-30,11:50:00,88.63,14.0,,,,0.4099999999999966,0.4647472228519571,,
15,2022-08-30,12:00:00,88.26,5.0,,,,-0.3699999999999903,-0.4174658693444548,,
16,2022-08-30,12:10:00,87.93,27.0,,,,-0.3299999999999983,-0.3738953093133903,,
17,2022-08-30,12:20:00,88.08,36.0,,,,0.1499999999999914,0.1705902422381342,,
18,2022-08-30,12:30:00,88.22,11.0,,,,0.1400000000000005,0.1589464123524075,,
19,2022-08-30,12:40:00,88.03,18.0,,,,-0.1899999999999977,-0.2153706642484671,,
20,2022-08-30,12:50:00,88.27,17.0,,,,0.2399999999999948,0.2726343292059467,,
21,2022-08-30,13:00:00,88.46,10.0,,,,0.1899999999999977,0.2152486688569136,,
22,2022-08-30,13:10:00,88.1,13.0,,,,-0.3599999999999994,-0.4069635993669449,,
23,2022-08-30,13:20:00,88.47,12.0,,,,0.3700000000000045,0.4199772985244093,,
24,2022-08-30,13:30:00,88.73,16.0,,,,0.2600000000000051,0.2938849327455692,,
25,2022-08-30,13:40:00,88.72,4.0,,,,-0.0100000000000051,-0.0112701453848812,,
26,2022-08-30,13:50:00,88.66,32.0,,,,-0.0600000000000022,-0.0676284941388664,,
27,2022-08-30,14:00:00,88.61,6.0,,,,-0.0499999999999971,-0.056395217685537,,
28,2022-08-30,14:10:00,88.59,18.0,,,,-0.019999999999996,-0.0225708159349915,,
29,2022-08-30,14:20:00,88.45,61.0,,,,-0.1400000000000005,-0.158031380516989,,
30,2022-08-30,14:30:00,88.35,5.0,,,,-0.1000000000000085,-0.1130582249858773,,
31,2022-08-30,14:40:00,88.59,1.0,,,,0.2400000000000091,0.2716468590832021,,
32,2022-08-30,14:50:00,88.57,5.0,,,,-0.0200000000000102,-0.0225759115024384,,
33,2022-08-30,15:00:00,88.78,1.0,,,,0.2100000000000079,0.2371005983967573,,
34,2022-08-30,15:10:00,88.73,3.0,,,,-0.0499999999999971,-0.0563189907636823,,
35,2022-08-30,15:20:00,88.8,5.0,,,,0.0699999999999931,0.0788910176941205,,
36,2022-08-30,15:30:00,88.84,1.0,,,,0.0400000000000062,0.045045045045052,,
37,2022-08-30,15:40:00,88.78,1.0,,,,-0.0600000000000022,-0.067537145429989,,
38,2022-08-30,15:50:00,88.82,1.0,,,,0.039999999999992,0.0450551926109394,,
39,2022-08-30,16:00:00,88.82,0.0,,,,0.0,0.0,,
40,2022-08-31,09:30:00,87.46,19.0,56.0,598.0,88.82,-1.3599999999999994,-1.531186669668993,-1.3599999999999994,-1.531186669668993
41,2022-08-31,09:40:00,88.05,14.0,38.0,598.0,88.82,0.5900000000000034,0.674594100160077,-0.769999999999996,-0.8669218644449405
42,2022-08-31,09:50:00,87.96,7.0,8.0,598.0,88.82,-0.0900000000000034,-0.1022146507666137,-0.8599999999999994,-0.9682503940553924
43,2022-08-31,10:00:00,87.71,12.0,9.0,598.0,88.82,-0.25,-0.2842201000454752,-1.1099999999999994,-1.2497185318621926
44,2022-08-31,10:10:00,87.72,11.0,36.0,598.0,88.82,0.0100000000000051,0.0114012085281098,-1.0999999999999943,-1.2384598063499148
45,2022-08-31,10:20:00,87.78,6.0,13.0,598.0,88.82,0.0600000000000022,0.0683994528043801,-1.039999999999992,-1.1709074532762802
46,2022-08-31,10:30:00,87.26,21.0,18.0,598.0,88.82,-0.519999999999996,-0.592390066074272,-1.559999999999988,-1.7563611799144203
47,2022-08-31,10:40:00,87.74,5.0,29.0,598.0,88.82,0.4799999999999897,0.5500802200320762,-1.0799999999999983,-1.2159423553253752
48,2022-08-31,10:50:00,88.02,8.0,2.0,598.0,88.82,0.2800000000000011,0.3191246865739698,-0.7999999999999972,-0.9006980409817577
49,2022-08-31,11:00:00,87.44,14.0,10.0,598.0,88.82,-0.5799999999999983,-0.6589411497386939,-1.3799999999999957,-1.5537041206935325
50,2022-08-31,11:10:00,87.79,5.0,11.0,598.0,88.82,0.3500000000000085,0.4002744739249869,-1.029999999999987,-1.1596487277640024
51,2022-08-31,11:20:00,87.35,6.0,8.0,598.0,88.82,-0.4400000000000119,-0.5011960359950016,-1.4699999999999989,-1.6550326503039845
52,2022-08-31,11:30:00,87.62,8.0,25.0,598.0,88.82,0.2700000000000102,0.3091013165426562,-1.1999999999999886,-1.3510470614726289
53,2022-08-31,11:40:00,88.17,5.0,12.0,598.0,88.82,0.5499999999999972,0.6277105683633841,-0.6499999999999915,-0.7318171582976711
54,2022-08-31,11:50:00,88.19,9.0,14.0,598.0,88.82,0.019999999999996,0.022683452421454,-0.6299999999999955,-0.7092997072731316
55,2022-08-31,12:00:00,87.91,19.0,5.0,598.0,88.82,-0.2800000000000011,-0.3174963147749191,-0.9099999999999966,-1.0245440216167492
56,2022-08-31,12:10:00,88.2,10.0,27.0,598.0,88.82,0.2900000000000062,0.3298828347173316,-0.6199999999999903,-0.6980409817608538
57,2022-08-31,12:20:00,87.85,4.0,36.0,598.0,88.82,-0.3500000000000085,-0.3968253968254065,-0.9699999999999988,-1.0920963746903838
58,2022-08-31,12:30:00,88.04,6.0,11.0,598.0,88.82,0.1900000000000119,0.2162777461582378,-0.7799999999999869,-0.8781805899572022
59,2022-08-31,12:40:00,87.69,6.0,18.0,598.0,88.82,-0.3500000000000085,-0.3975465697410364,-1.1299999999999957,-1.2722359828867322
60,2022-08-31,12:50:00,87.86,6.0,17.0,598.0,88.82,0.1700000000000017,0.1938647508267781,-0.9599999999999936,-1.080837649178106
