index,date,time,price,volume
0,2022-09-01,14:00:00,84.8,2.0
1,2022-09-01,14:10:00,84.8,0.0
2,2022-09-01,14:20:00,84.8,0.0
3,2022-09-01,14:30:00,84.8,0.0
4,2022-09-01,14:40:00,84.8,0.0
5,2022-09-01,14:50:00,84.8,0.0
6,2022-09-01,15:00:00,84.8,0.0
7,2022-09-01,15:10:00,84.8,0.0
8,2022-09-01,15:20:00,84.8,0.0
9,2022-09-01,15:30:00,84.55,1.0
10,2022-09-01,15:40:00,84.55,0.0
11,2022-09-01,15:50:00,84.55,0.0
12,2022-09-01,16:00:00,84.55,0.0
54,2022-09-05,15:50:00,86.39,1.0
55,2022-09-05,16:00:00,86.39,0.0
108,2022-09-07,14:10:00,81.34,1.0
109,2022-09-07,14:20:00,81.34,0.0
110,2022-09-07,14:30:00,81.34,0.0
111,2022-09-07,14:40:00,81.34,0.0
112,2022-09-07,14:50:00,81.34,0.0
113,2022-09-07,15:00:00,81.34,0.0
114,2022-09-07,15:10:00,81.34,0.0
115,2022-09-07,15:20:00,81.34,0.0
116,2022-09-07,15:30:00,81.34,0.0
117,2022-09-07,15:40:00,81.34,0.0
118,2022-09-07,15:50:00,81.34,0.0
119,2022-09-07,16:00:00,81.34,0.0
161,2022-09-08,14:10:00,80.02,4.0
162,2022-09-08,14:20:00,80.02,0.0
163,2022-09-08,14:30:00,80.02,0.0
164,2022-09-08,14:40:00,80.02,0.0
165,2022-09-08,14:50:00,80.69,3.0
166,2022-09-08,15:00:00,80.69,0.0
167,2022-09-08,15:10:00,80.22,2.0
168,2022-09-08,15:20:00,80.22,0.0
169,2022-09-08,15:30:00,80.07,1.0
170,2022-09-08,15:40:00,80.07,0.0
171,2022-09-08,15:50:00,80.07,0.0
172,2022-09-08,16:00:00,79.55,1.0
214,2022-09-09,15:10:00,82.36,1.0
215,2022-09-09,15:20:00,82.36,0.0
216,2022-09-09,15:30:00,82.53,6.0
217,2022-09-09,15:40:00,82.28,1.0
218,2022-09-09,15:50:00,82.28,0.0
219,2022-09-09,16:00:00,82.28,0.0
261,2022-09-12,11:20:00,84.24,1.0
262,2022-09-12,11:30:00,84.24,0.0
263,2022-09-12,11:40:00,84.24,0.0
